Mã s? ID,Tình tr?ng,?ã b?t ??u vào lúc,?ã hoàn thành,Th?i gian th?c hi?n,"?i?m/10,00","Q. 1 /1,00","Q. 2 /1,00","Q. 3 /1,00","Q. 4 /1,00","Q. 5 /1,00","Q. 6 /1,00","Q. 7 /1,00","Q. 8 /1,00","Q. 9 /1,00","Q. 10 /1,00"
1911478,?ã hoàn thành,20 March 2020  9:13 AM,20 March 2020  9:24 AM,10 phút 56 giây,"8,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","0,00","1,00"
1914405,?ã hoàn thành,20 March 2020  9:16 AM,20 March 2020  9:18 AM,2 phút 17 giây,"8,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","0,00","1,00"
1914405,?ã hoàn thành,20 March 2020  9:19 AM,20 March 2020  9:20 AM,1 phút 6 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1911478,?ã hoàn thành,20 March 2020  9:25 AM,20 March 2020  9:26 AM,1 phút 12 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1912749,?ã hoàn thành,20 March 2020  9:26 AM,20 March 2020  9:30 AM,3 phút 13 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913186,?ã hoàn thành,20 March 2020  9:37 AM,20 March 2020  9:59 AM,22 phút 37 giây,"9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","0,00","1,00"
1911878,?ã hoàn thành,20 March 2020  9:42 AM,20 March 2020  9:43 AM,1 phút 33 giây,"10,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
1913014,?ã hoàn thành,20 March 2020  9:53 AM,20 March 2020  9:55 AM,2 phút 33 giây,"7,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","0,00","0,00"
1913014,?ã hoàn thành,20 March 2020  9:56 AM,20 March 2020  9:57 AM,1 phút 10 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
1913014,?ã hoàn thành,20 March 2020  9:57 AM,20 March 2020  9:58 AM,46 giây,"9,50","1,00","1,00","1,00","1,00","1,00","1,00","0,50","1,00","1,00","1,00"
