"","Maso","ThoigianTB"
"1",1913014,53430
"2",1911186,270
"3",1914003,684660
"4",1914802,60
"5",1814096,30
"6",1913123,90
"7",1911796,60
"8",1913844,30
"9",1937019,233370
"10",1914474,30
"11",1913433,30
"12",1914052,60
"13",1913917,120
"14",1915439,90
"15",1913341,60
"16",1913949,30
"17",1914227,60
"18",1911881,30
"19",1914768,30
"20",1912761,60
"21",1913651,60
"22",1910038,702060
"23",1915905,90
"24",1913418,60
"25",1915903,150
"26",1915939,30
"27",1910865,30
"28",1911561,60
"29",1915268,30
"30",1912056,30
"31",1913775,30
"32",1913424,60
"33",1913817,60
"34",1936024,30
"35",1915040,30
"36",1913918,60
"37",1927007,60
"38",1914720,30
"39",1915562,407040
"40",1912410,30
"41",1914210,30
"42",1914352,60
"43",1912916,60
"44",1914704,90
"45",1912676,30
"46",1914384,30
"47",1910339,154260
"48",1813096,60
"49",1913048,1200
"50",1910351,510
"51",1912579,606300
"52",1912966,120
"53",1911363,60
"54",1914979,60
"55",1913609,30
"56",1911900,150
"57",1912700,30
"58",1915083,30
"59",1915919,60
"60",1913032,210
"61",1915882,30
"62",1914674,60
"63",1915598,60
"64",1913306,90
"65",1910650,60
"66",1916022,30
"67",1910276,120
"68",1915350,60
"69",1613010,30
"70",1915470,60
"71",1912237,120
"72",1915378,30
"73",1913756,60
"74",1914047,60
"75",1912046,60
"76",1911105,120
"77",1913944,30
"78",1915940,60
"79",1812477,60
"80",1915570,30
"81",1912954,90
"82",1912386,30
"83",1915928,90
"84",1915775,351210
"85",1910006,60
"86",1913045,90
"87",1913560,210
"88",1914713,30
"89",1914685,30
"90",1913990,60
"91",1914661,120
"92",1915983,30
"93",1911110,120
"94",1911975,150
"95",1914807,0
"96",1915540,0
"97",1915541,0
"98",1913186,0
"99",1911591,0
"100",1912190,0
"101",1911704,0
"102",1915329,0
"103",1912041,0
"104",1910666,0
"105",1915130,0
"106",1915822,0
"107",1913355,0
"108",1914055,0
"109",1911931,0
"110",1913464,0
"111",1937024,0
"112",1913094,0
"113",1916061,0
"114",1913114,0
"115",1914038,0
"116",1914472,0
"117",1912602,0
"118",1914864,0
"119",1911262,0
"120",1913832,0
"121",1914845,0
"122",1914405,0
"123",1913102,0
"124",1910620,0
"125",1912817,0
"126",1913386,0
"127",1915953,0
"128",1910032,0
"129",1915865,0
"130",1914121,0
"131",1915071,0
"132",1910916,0
"133",1911837,0
"134",1913075,0
"135",1913467,0
"136",1915482,0
"137",1913396,0
