"","Maso"
"1",1911591
"2",1913380
"3",1915482
"4",1913832
"5",1911837
"6",1914003
"7",1914227
"8",1915541
"9",1912980
"10",1912041
"11",1912817
"12",1913775
"13",1915329
"14",1911704
"15",1914845
"16",1914474
"17",1915473
"18",1911136
"19",1913464
"20",1912190
"21",1911881
"22",1812478
"23",1911931
"24",1913123
"25",1914220
"26",1913241
"27",1915540
"28",1913075
"29",1913094
"30",1915822
"31",1915562
"32",1911314
"33",1910101
"34",1913254
"35",1914864
"36",1914384
"37",1913114
"38",1914641
"39",1814096
"40",1913386
"41",1913609
"42",1913844
"43",1910865
"44",1913396
"45",1911569
"46",1915865
"47",1910409
"48",1912410
"49",1915903
"50",1912811
"51",1914807
"52",1914768
"53",1913021
"54",1912184
"55",1913467
"56",1911262
"57",1914472
"58",1914677
"59",1913306
"60",1912371
"61",1915076
"62",1912084
"63",1915953
"64",1915323
"65",1914052
"66",1910113
"67",1910202
"68",1913261
"69",1914055
"70",1914979
"71",1937024
"72",1912463
"73",1911207
"74",1915919
"75",1911478
"76",1911520
"77",1910620
"78",1915442
"79",1511191
"80",1912123
"81",1910351
"82",1915991
"83",1913621
"84",1912798
"85",1911283
"86",1910892
"87",1912715
"88",1914881
"89",1910298
"90",1913918
"91",1915651
"92",1910038
"93",1812257
"94",1912676
"95",1912579
"96",1911796
"97",1911185
"98",1910916
"99",1912237
"100",1913102
"101",1913356
"102",1913944
"103",1914659
"104",1910076
"105",1912683
"106",1912749
"107",1910339
"108",1913026
"109",1912288
"110",1914054
"111",1910110
"112",1911907
"113",1910643
"114",1910238
"115",1937064
"116",1910276
"117",1914084
"118",1913764
"119",1915071
"120",1915351
"121",1913218
"122",1914291
"123",1914698
"124",1913336
"125",1914674
"126",1911441
"127",1913652
"128",1914022
"129",1913341
"130",1913048
"131",1913695
"132",1914121
"133",1913334
"134",1915474
"135",1910565
"136",1911650
"137",1913433
"138",1915251
"139",1913729
"140",1915063
"141",1910650
"142",1912916
"143",1914316
"144",1910473
"145",1911056
"146",1912761
"147",1912386
"148",1910123
"149",1914078
"150",1911841
"151",1912675
"152",1913949
"153",1915551
"154",1912602
"155",1913713
"156",1911736
"157",1915557
"158",1914093
"159",1914310
"160",1913651
"161",1914738
"162",1915439
"163",1914352
"164",1914210
"165",1910094
"166",1915040
"167",1914079
"168",1914038
"169",1912912
"170",1912046
"171",1910984
"172",1911565
"173",1912457
"174",1914011
"175",1915486
"176",1911015
"177",1915294
"178",1911594
"179",1914477
"180",1913560
"181",1914651
"182",1914914
"183",1913424
"184",1915656
"185",1915787
"186",1912966
"187",1911296
"188",1913763
"189",1912705
"190",1915983
"191",1915598
"192",1914232
"193",1911110
"194",1910346
"195",1913446
"196",1913419
"197",1911363
"198",1915866
"199",1913828
"200",1910006
"201",1910060
"202",1912267
"203",1913430
"204",1911900
"205",1910347
"206",1910663
"207",1911530
"208",1915016
"209",1910402
"210",1912713
"211",1913167
"212",1913599
"213",1916022
"214",1913354
"215",1912384
"216",1915350
"217",1915133
"218",1910265
"219",1813681
"220",1911285
"221",1915982
"222",1914763
"223",1913040
"224",1915570
