"","Maso","Cachnhau"
"1",1913014,1020
"2",1914802,300
"3",1912041,0
"4",1913464,0
"5",1911591,0
"6",1911704,0
"7",1913186,0
"8",1911931,0
"9",1915822,0
"10",1913341,0
"11",1915329,0
"12",1910666,0
"13",1910032,0
"14",1915482,0
"15",1914003,0
"16",1911136,0
"17",1913949,0
"18",1912184,0
"19",1914227,0
"20",1913355,0
"21",1912190,0
"22",1915540,180
"23",1913094,0
"24",1913356,0
"25",1915071,0
"26",1913123,0
"27",1914845,0
"28",1914055,0
"29",1911881,0
"30",1915865,0
"31",1910620,0
"32",1911456,0
"33",1914864,0
"34",1914768,0
"35",1913075,0
"36",1915541,0
"37",1915953,0
"38",1913418,720
"39",1914472,0
"40",1915905,0
"41",1914474,0
"42",1910076,0
"43",1511191,0
"44",1915903,0
"45",1912817,0
"46",1911185,0
"47",1912980,0
"48",1910916,0
"49",1910101,0
"50",1915323,0
"51",1814096,0
"52",1910298,0
"53",1915939,0
"54",1913386,0
"55",1916061,0
"56",1913467,0
"57",1914641,0
"58",1915268,0
"59",1911520,0
"60",1913268,0
"61",1911796,0
"62",1911262,6720
"63",1910238,0
"64",1914738,0
"65",1914405,0
"66",1910644,0
"67",1915473,0
"68",1912602,0
"69",1912056,0
"70",1912123,0
"71",1914052,0
"72",1915351,0
"73",1913021,0
"74",1812478,0
"75",1914093,0
"76",1914220,0
"77",1913424,0
"78",1937019,1791300
"79",1914084,0
"80",1936024,693300
"81",1914677,0
"82",1911066,0
"83",1914038,0
"84",1910224,0
"85",1913026,0
"86",1913380,0
"87",1912371,0
"88",1914054,0
"89",1913775,0
"90",1911478,0
"91",1914291,0
"92",1915146,0
"93",1913652,0
"94",1915040,0
"95",1911314,0
"96",1913918,0
"97",1927007,0
"98",1914126,0
"99",1914720,0
"100",1913102,0
"101",1915562,0
"102",1911283,0
"103",1910137,0
"104",1915557,0
"105",1912457,0
"106",1911837,180
"107",1911569,0
"108",1910409,0
"109",1913396,0
"110",1914352,0
"111",1912916,0
"112",1912288,0
"113",1912715,0
"114",1914704,420
"115",1913433,60
"116",1913729,0
"117",1912523,0
"118",1912676,0
"119",1913114,60
"120",1913566,0
"121",1910038,1305960
"122",1910110,480
"123",1913832,0
"124",1912410,0
"125",1910339,0
"126",1813096,0
"127",1912749,60
"128",1913713,0
"129",1913241,360
"130",1910351,0
"131",1915439,0
"132",1910643,0
"133",1911186,0
"134",1910865,0
"135",1913917,780
"136",1915442,0
"137",1914210,0
"138",1914384,0
"139",1912594,0
"140",1913254,0
"141",1914979,0
"142",1910892,0
"143",1914316,0
"144",1912683,0
"145",1913844,0
"146",1913609,0
"147",1915275,0
"148",1914121,0
"149",1912811,0
"150",1912761,0
"151",1912700,0
"152",1910123,960
"153",1912579,540
"154",1914807,0
"155",1913261,0
"156",1911441,0
"157",1915919,0
"158",1910402,0
"159",1914806,0
"160",1915598,0
"161",1910202,0
"162",1913306,240
"163",1910094,0
"164",1910113,0
"165",1915076,0
"166",1910650,0
"167",1914763,0
"168",1912084,0
"169",1937024,0
"170",1911561,0
"171",1910276,10380
"172",1910565,0
"173",1913621,0
"174",1911207,0
"175",1914881,0
"176",1915350,0
"177",1915991,0
"178",1613010,0
"179",1914880,0
"180",1912463,0
"181",1912798,0
"182",1915651,0
"183",1915795,0
"184",1915882,0
"185",1913828,0
"186",1913334,0
"187",1812257,0
"188",1911056,0
"189",1912267,120
"190",1911058,0
"191",1912237,0
"192",1911000,0
"193",1912539,0
"194",1915083,0
"195",1914424,0
"196",1915251,0
"197",1915982,780
"198",1913048,2040
"199",1911841,0
"200",1911217,0
"201",1914659,0
"202",1912046,0
"203",1913764,0
"204",1911105,480
"205",1913944,0
"206",1913228,0
"207",1915520,0
"208",1915940,0
"209",1915378,0
"210",1911907,0
"211",1937064,0
"212",1913651,0
"213",1912912,0
"214",1914047,0
"215",1914674,0
"216",1914878,0
"217",1914698,0
"218",1913218,0
"219",1915656,0
"220",1913336,0
"221",1812477,0
"222",1913763,0
"223",1915016,0
"224",1912675,0
"225",1915988,0
"226",1912966,0
"227",1914310,0
"228",1913817,0
"229",1914022,0
"230",1915745,0
"231",1913695,0
"232",1915063,0
"233",1914079,0
"234",1914064,0
"235",1915474,0
"236",1911650,0
"237",1913354,0
"238",1913756,0
"239",1915470,3360
"240",1910347,0
"241",1910473,0
"242",1912954,0
"243",1912386,0
"244",1915775,0
"245",1914078,0
"246",1913260,0
"247",1814518,0
"248",1912958,0
"249",1915551,0
"250",1911736,0
"251",1911900,0
"252",1914914,0
"253",1852443,0
"254",1911296,0
"255",1915486,0
"256",1910346,0
"257",1914697,0
"258",1914011,0
"259",1911015,209220
"260",1910198,900
"261",1910984,0
"262",1911565,0
"263",1914830,0
"264",1913430,0
"265",1915130,0
"266",1913045,0
"267",1915294,0
"268",1914477,0
"269",1913629,0
"270",1911594,0
"271",1813528,0
"272",1915787,0
"273",1913560,0
"274",1914713,0
"275",1914651,0
"276",1820028,0
"277",1914685,0
"278",1910265,0
"279",1913678,0
"280",1913990,1440
"281",1914661,420
"282",1915667,0
"283",1912705,0
"284",1915983,0
"285",1914232,0
"286",1915866,0
"287",1911110,0
"288",1911363,0
"289",1913446,0
"290",1913419,0
"291",1911975,0
"292",1911285,0
"293",1813681,0
"294",1912526,0
"295",1910006,0
"296",1910060,0
"297",1915650,0
"298",1913599,0
"299",1915570,0
"300",1910663,0
"301",1911530,0
"302",1913167,0
"303",1911044,0
"304",1912713,0
"305",1912384,0
"306",1910735,0
"307",1913457,0
"308",1916022,0
"309",1913758,0
"310",1911878,0
"311",1915133,0
"312",1915931,0
"313",1912522,0
"314",1910563,0
"315",1913040,0
