"","Maso","f","Diem"
"1",1913014,510,10
"2",1914802,150,8
"3",1912041,0,9.5
"4",1913464,0,10
"5",1911591,0,10
"6",1911704,0,10
"7",1913186,0,10
"8",1911931,0,10
"9",1915822,0,10
"10",1913341,0,10
"11",1915329,0,10
"12",1910666,0,10
"13",1910032,0,10
"14",1915482,0,10
"15",1914003,0,10
"16",1911136,0,10
"17",1913949,0,10
"18",1912184,0,10
"19",1914227,0,10
"20",1913355,0,10
"21",1912190,0,10
"22",1915540,90,9.5
"23",1913094,0,10
"24",1913356,0,10
"25",1915071,0,10
"26",1913123,0,10
"27",1914845,0,10
"28",1914055,0,10
"29",1911881,0,10
"30",1915865,0,10
"31",1910620,0,10
"32",1911456,0,10
"33",1914864,0,10
"34",1914768,0,10
"35",1913075,0,10
"36",1915541,0,10
"37",1915953,0,10
"38",1913418,240,8.5
"39",1914472,0,8
"40",1915905,0,10
"41",1914474,0,10
"42",1910076,0,10
"43",1511191,0,10
"44",1915903,0,10
"45",1912817,0,10
"46",1911185,0,10
"47",1912980,0,10
"48",1910916,0,10
"49",1910101,0,10
"50",1915323,0,10
"51",1814096,0,9.5
"52",1910298,0,10
"53",1915939,0,10
"54",1913386,0,10
"55",1916061,0,10
"56",1913467,0,10
"57",1914641,0,10
"58",1915268,0,10
"59",1911520,0,10
"60",1913268,0,10
"61",1911796,0,10
"62",1911262,3360,10
"63",1910238,0,10
"64",1914738,0,10
"65",1914405,0,10
"66",1910644,0,10
"67",1915473,0,10
"68",1912602,0,10
"69",1912056,0,10
"70",1912123,0,10
"71",1914052,0,10
"72",1915351,0,10
"73",1913021,0,10
"74",1812478,0,10
"75",1914093,0,10
"76",1914220,0,10
"77",1913424,0,10
"78",1937019,447825,6
"79",1914084,0,10
"80",1936024,346650,9.5
"81",1914677,0,10
"82",1911066,0,10
"83",1914038,0,10
"84",1910224,0,10
"85",1913026,0,10
"86",1913380,0,10
"87",1912371,0,10
"88",1914054,0,10
"89",1913775,0,10
"90",1911478,0,10
"91",1914291,0,10
"92",1915146,0,9.5
"93",1913652,0,10
"94",1915040,0,10
"95",1911314,0,10
"96",1913918,0,10
"97",1927007,0,10
"98",1914126,0,10
"99",1914720,0,10
"100",1913102,0,10
"101",1915562,0,10
"102",1911283,0,10
"103",1910137,0,10
"104",1915557,0,10
"105",1912457,0,10
"106",1911837,90,9
"107",1911569,0,10
"108",1910409,0,10
"109",1913396,0,10
"110",1914352,0,10
"111",1912916,0,8.5
"112",1912288,0,10
"113",1912715,0,10
"114",1914704,140,6
"115",1913433,30,9
"116",1913729,0,10
"117",1912523,0,9
"118",1912676,0,10
"119",1913114,30,9.5
"120",1913566,0,10
"121",1910038,652980,9.5
"122",1910110,240,9
"123",1913832,0,10
"124",1912410,0,10
"125",1910339,0,10
"126",1813096,0,10
"127",1912749,30,9.5
"128",1913713,0,10
"129",1913241,120,9.5
"130",1910351,0,10
"131",1915439,0,10
"132",1910643,0,10
"133",1911186,0,10
"134",1910865,0,10
"135",1913917,195,6
"136",1915442,0,10
"137",1914210,0,10
"138",1914384,0,10
"139",1912594,0,10
"140",1913254,0,10
"141",1914979,0,10
"142",1910892,0,10
"143",1914316,0,10
"144",1912683,0,9.5
"145",1913844,0,10
"146",1913609,0,10
"147",1915275,0,10
"148",1914121,0,10
"149",1912811,0,10
"150",1912761,0,10
"151",1912700,0,10
"152",1910123,320,9
"153",1912579,270,7
"154",1914807,0,9
"155",1913261,0,10
"156",1911441,0,10
"157",1915919,0,10
"158",1910402,0,10
"159",1914806,0,10
"160",1915598,0,10
"161",1910202,0,10
"162",1913306,120,9.5
"163",1910094,0,10
"164",1910113,0,10
"165",1915076,0,10
"166",1910650,0,10
"167",1914763,0,10
"168",1912084,0,10
"169",1937024,0,10
"170",1911561,0,10
"171",1910276,5190,10
"172",1910565,0,10
"173",1913621,0,10
"174",1911207,0,10
"175",1914881,0,10
"176",1915350,0,10
"177",1915991,0,10
"178",1613010,0,10
"179",1914880,0,10
"180",1912463,0,10
"181",1912798,0,10
"182",1915651,0,10
"183",1915795,0,10
"184",1915882,0,10
"185",1913828,0,10
"186",1913334,0,10
"187",1812257,0,9.5
"188",1911056,0,10
"189",1912267,60,9
"190",1911058,0,10
"191",1912237,0,10
"192",1911000,0,10
"193",1912539,0,10
"194",1915083,0,10
"195",1914424,0,9.5
"196",1915251,0,10
"197",1915982,195,7.5
"198",1913048,1020,7.5
"199",1911841,0,10
"200",1911217,0,10
"201",1914659,0,10
"202",1912046,0,9.5
"203",1913764,0,10
"204",1911105,240,8
"205",1913944,0,10
"206",1913228,0,10
"207",1915520,0,10
"208",1915940,0,10
"209",1915378,0,10
"210",1911907,0,10
"211",1937064,0,10
"212",1913651,0,10
"213",1912912,0,9
"214",1914047,0,10
"215",1914674,0,10
"216",1914878,0,10
"217",1914698,0,10
"218",1913218,0,10
"219",1915656,0,10
"220",1913336,0,10
"221",1812477,0,9.5
"222",1913763,0,10
"223",1915016,0,10
"224",1912675,0,10
"225",1915988,0,10
"226",1912966,0,9
"227",1914310,0,10
"228",1913817,0,10
"229",1914022,0,10
