"","Maso","Cachnhau"
"1",1913014,185160
"2",1911591,0
"3",1913186,180
"4",1936024,120
"5",1913380,0
"6",1915482,0
"7",1913832,0
"8",1911837,0
"9",1914003,0
"10",1914227,0
"11",1915541,0
"12",1913355,180
"13",1912980,0
"14",1912041,0
"15",1914720,60
"16",1913566,60
"17",1912817,0
"18",1913775,0
"19",1915329,0
"20",1911704,0
"21",1910666,60
"22",1914845,0
"23",1914474,0
"24",1910644,180
"25",1915473,0
"26",1911136,0
"27",1914405,1775340
"28",1913464,0
"29",1912190,0
"30",1911881,0
"31",1812478,0
"32",1911931,0
"33",1913123,0
"34",1914220,0
"35",1913241,0
"36",1915540,0
"37",1913075,0
"38",1913094,0
"39",1915822,0
"40",1915562,0
"41",1911314,0
"42",1910101,0
"43",1913254,0
"44",1927007,120
"45",1914864,0
"46",1915146,300
"47",1914384,0
"48",1913114,0
"49",1914641,0
"50",1814096,0
"51",1913386,0
"52",1913609,0
"53",1913844,0
"54",1910865,0
"55",1913396,0
"56",1915275,251580
"57",1911569,0
"58",1915865,0
"59",1910409,0
"60",1912523,58140
"61",1912410,0
"62",1915903,0
"63",1912811,0
"64",1914807,0
"65",1914768,0
"66",1913021,0
"67",1912184,0
"68",1913467,0
"69",1911262,0
"70",1914472,0
"71",1914677,0
"72",1910137,1740
"73",1913306,0
"74",1912371,0
"75",1915076,0
"76",1912084,0
"77",1912700,60
"78",1915953,0
"79",1915323,0
"80",1914052,0
"81",1910113,0
"82",1910202,0
"83",1913418,180
"84",1913261,0
"85",1914055,0
"86",1914979,0
"87",1937024,0
"88",1912463,0
"89",1911207,0
"90",1915919,0
"91",1915795,180
"92",1911478,0
"93",1911520,0
"94",1910620,0
"95",1915442,0
"96",1511191,0
"97",1912123,0
"98",1910351,0
"99",1915991,0
"100",1913621,0
"101",1912798,0
"102",1911283,0
"103",1910892,0
"104",1912715,0
"105",1914881,0
"106",1910298,0
"107",1913918,0
"108",1915651,0
"109",1910038,0
"110",1812257,0
"111",1912676,0
"112",1912579,0
"113",1911796,0
"114",1911185,0
"115",1910916,0
"116",1912237,0
"117",1913102,0
"118",1913356,0
"119",1913944,0
"120",1914659,0
"121",1916061,360
"122",1910076,0
"123",1912683,0
"124",1915520,1965600
"125",1912749,0
"126",1910339,0
"127",1913026,0
"128",1912288,0
"129",1914054,0
"130",1910110,0
"131",1911907,0
"132",1910643,0
"133",1910238,0
"134",1937064,0
"135",1910032,60
"136",1910276,0
"137",1914084,0
"138",1913764,0
"139",1915071,0
"140",1915351,0
"141",1915268,120
"142",1913218,0
"143",1914291,0
"144",1914698,0
"145",1913336,0
"146",1914674,0
"147",1911441,0
"148",1913652,0
"149",1812477,1800
"150",1911066,120
"151",1915378,120
"152",1914022,0
"153",1913341,0
"154",1913048,0
"155",1912539,120
"156",1913695,0
"157",1914121,0
"158",1913334,0
"159",1915474,0
"160",1914704,180
"161",1910565,0
"162",1911650,0
"163",1913433,0
"164",1915251,0
"165",1913729,0
"166",1915063,0
"167",1915882,180
"168",1911058,120
"169",1911186,60
"170",1912594,120
"171",1911000,360
"172",1910650,0
"173",1912916,0
"174",1914316,0
"175",1910473,0
"176",1911056,0
"177",1912761,0
"178",1613010,240
"179",1912386,0
"180",1915775,60
"181",1910123,0
"182",1914880,180
"183",1913817,300
"184",1914078,0
"185",1814518,120
"186",1911841,0
"187",1912675,0
"188",1915745,120
"189",1914126,180
"190",1913949,0
"191",1915551,0
"192",1912602,0
"193",1913713,0
"194",1911736,0
"195",1915557,0
"196",1915083,60
"197",1914424,120
"198",1914093,0
"199",1915988,300
"200",1914310,0
"201",1913268,120
"202",1913651,0
"203",1914738,0
"204",1915439,0
"205",1914352,0
"206",1914210,0
"207",1910094,0
"208",1915040,0
"209",1914079,0
"210",1914038,0
"211",1912912,0
"212",1912046,0
"213",1910984,0
"214",1911565,0
"215",1912056,60
"216",1912457,0
"217",1914011,0
"218",1915486,0
"219",1915130,60
"220",1911015,0
"221",1915294,0
"222",1914830,60
"223",1911594,0
"224",1914477,0
"225",1813096,180
"226",1913560,0
"227",1914713,120
"228",1914651,0
"229",1914914,0
"230",1911217,120
"231",1820028,60
"232",1913424,0
"233",1915656,0
"234",1914685,120
"235",1915787,0
"236",1912966,0
"237",1911296,0
"238",1913678,60
"239",1914661,60
"240",1913763,0
"241",1852443,120
"242",1912705,0
"243",1915983,0
"244",1915598,0
"245",1914232,0
"246",1914047,300
"247",1911110,0
"248",1910346,0
"249",1913446,0
"250",1913419,0
"251",1911363,0
"252",1915866,0
"253",1913828,0
"254",1910006,0
"255",1910060,0
"256",1912267,0
"257",1913430,0
"258",1911900,0
"259",1910347,0
"260",1910663,0
"261",1911530,0
"262",1915016,0
"263",1910402,0
"264",1912713,0
"265",1913167,0
"266",1913599,0
"267",1913457,120
"268",1916022,0
"269",1910224,60
"270",1913354,0
"271",1912384,0
"272",1915350,0
"273",1913045,180
"274",1915133,0
"275",1910265,0
"276",1813681,0
"277",1911285,0
"278",1911044,240
"279",1915982,0
"280",1914763,0
"281",1913040,0
"282",1915570,0
