"","Maso","TrungBinh"
"1",1913014,92580
"2",1911591,0
"3",1913186,90
"4",1913186,90
"5",1936024,60
"6",1936024,60
"7",1913380,0
"8",1915482,0
"9",1913832,0
"10",1911837,0
"11",1914003,0
"12",1914227,0
"13",1915541,0
"14",1913355,90
"15",1912980,0
"16",1913355,90
"17",1912041,0
"18",1914720,30
"19",1914720,30
"20",1913566,30
"21",1913566,30
"22",1912817,0
"23",1913775,0
"24",1915329,0
"25",1911704,0
"26",1910666,30
"27",1910666,30
"28",1914845,0
"29",1914474,0
"30",1910644,90
"31",1910644,90
"32",1915473,0
"33",1911136,0
"34",1914405,887670
"35",1913464,0
"36",1912190,0
"37",1911881,0
"38",1812478,0
"39",1911931,0
"40",1913123,0
"41",1914220,0
"42",1913014,92580
"43",1913241,0
"44",1915540,0
"45",1913075,0
"46",1913094,0
"47",1915822,0
"48",1915562,0
"49",1911314,0
"50",1910101,0
"51",1913254,0
"52",1927007,60
"53",1927007,60
"54",1914864,0
"55",1915146,150
"56",1915146,150
"57",1915146,150
"58",1914384,0
"59",1913114,0
"60",1914641,0
"61",1814096,0
"62",1913386,0
"63",1913609,0
"64",1913844,0
"65",1910865,0
"66",1913396,0
"67",1915275,125790
"68",1911569,0
"69",1915865,0
"70",1910409,0
"71",1912523,29070
"72",1912410,0
"73",1912523,29070
"74",1915903,0
"75",1912811,0
"76",1914807,0
"77",1914768,0
"78",1913021,0
"79",1912184,0
"80",1913467,0
"81",1911262,0
"82",1914472,0
"83",1914677,0
"84",1910137,870
"85",1910137,870
"86",1913306,0
"87",1912371,0
"88",1915275,125790
"89",1915076,0
"90",1912084,0
"91",1912700,30
"92",1912700,30
"93",1915953,0
"94",1915323,0
"95",1914052,0
"96",1910113,0
"97",1910202,0
"98",1913418,90
"99",1913418,90
"100",1913261,0
"101",1914055,0
"102",1914979,0
"103",1937024,0
"104",1912463,0
"105",1911207,0
"106",1915919,0
"107",1915795,90
"108",1915795,90
"109",1911478,0
"110",1911520,0
"111",1910620,0
"112",1915442,0
"113",1511191,0
"114",1912123,0
"115",1910351,0
"116",1915991,0
"117",1913621,0
"118",1912798,0
"119",1911283,0
"120",1910892,0
"121",1912715,0
"122",1914881,0
"123",1910298,0
