"","Maso","f","Diem"
"1",1912980,60,8.5
"2",1914227,0,10
"3",1913014,314640,9.5
"4",1911136,0,10
"5",1915329,30,9.5
"6",1915268,40,9.5
"7",1913186,240,9.5
"8",1911591,60,9.5
"9",1911520,30,9.5
"10",1914845,30,9.5
"11",1911704,0,10
"12",1912817,0,10
"13",1910666,45,9.5
"14",1911931,0,9.5
"15",1915482,0,10
"16",1913123,30,9.5
"17",1915541,60,9.5
"18",1911881,100,9.5
"19",1913021,60,8.5
"20",1812478,0,8.5
"21",1914220,0,9
"22",1914472,0,9
"23",1913094,120,9
"24",1936024,346740,9.5
"25",1914677,60,9
"26",1914003,90,9
"27",1913075,40,8.5
"28",1912041,0,9.5
"29",1914738,540495,9.5
"30",1915865,40,9.5
"31",1914405,150585,9
"32",1911796,90,9.5
"33",1927007,10780,7.5
"34",1915146,0,9.5
"35",1913775,40,9.5
"36",1915822,30,9.5
"37",1915562,0,9
"38",1914720,30,10
"39",1913355,40,9.5
"40",1911314,60,9.5
"41",1911837,0,10
"42",1911262,30,9.5
"43",1913102,0,9.5
"44",1912288,60,9.5
"45",1913114,145320,9.5
"46",1911569,0,9.5
"47",1913566,30,9.5
"48",1913380,0,9
"49",1913832,40,9.5
"50",1914474,60,9
"51",1910644,90,9
"52",1915540,40,9.5
"53",1915473,0,10
"54",1914052,90,9
"55",1913464,120,9.5
"56",1912190,0,10
"57",1913241,0,8.5
"58",1912056,0,9.5
"59",1914864,60,8.5
"60",1911185,90,9.5
"61",1910101,40,9.5
"62",1913713,40,9.5
"63",1913254,30,9.5
"64",1914641,0,10
"65",1914384,90,9
"66",1814096,30,9.5
"67",1913356,0,9.5
"68",1913386,0,9.5
"69",1913609,40,9.5
"70",1913844,30,9.5
"71",1910865,40,9.5
"72",1913396,45,9
"73",1915275,0,9
"74",1911283,0,9.5
"75",1912410,40,9.5
"76",1912523,0,9.5
"77",1910409,120,9.5
"78",1910339,90,8.5
"79",1914055,120,9.5
"80",1915903,0,9.5
"81",1914291,0,10
"82",1912811,90,9.5
"83",1914807,0,9.5
"84",1914768,200,9.5
"85",1912184,120,9.5
"86",1913467,0,10
"87",1912749,127720,8
"88",1910137,180,9.5
"89",1913306,0,10
"90",1911186,60,9.5
"91",1912371,90,9.5
"92",1915076,0,9.5
"93",1912084,60,8.5
"94",1911561,60,9.5
"95",1912700,30,8.5
"96",1915953,0,10
"97",1915323,60,9.5
"98",1913261,0,9.5
"99",1910113,30,8.5
"100",1913418,210,7.5
"101",1910202,60,9.5
"102",1914121,0,9.5
"103",1911478,30,9.5
