"","Maso","ThoigianTB"
"1",1912980,30
"2",1913014,314640
"3",1915329,30
"4",1915268,30
"5",1913186,240
"6",1911591,60
"7",1911520,30
"8",1914845,30
"9",1910666,30
"10",1913123,30
"11",1915541,60
"12",1911881,90
"13",1913021,30
"14",1913094,90
"15",1936024,346740
"16",1914677,60
"17",1914003,90
"18",1913075,30
"19",1914738,90
"20",1915865,30
"21",1914405,30
"22",1911796,90
"23",1927007,16110
"24",1913775,30
"25",1915822,30
"26",1914720,30
"27",1913355,30
"28",1911314,60
"29",1911262,30
"30",1912288,60
"31",1913114,30
"32",1913566,30
"33",1913832,30
"34",1914474,60
"35",1910644,90
"36",1915540,30
"37",1914052,90
"38",1913464,120
"39",1914864,30
"40",1911185,90
"41",1910101,30
"42",1913713,30
"43",1913254,30
"44",1914384,90
"45",1814096,30
"46",1913609,30
"47",1913844,30
"48",1910865,30
"49",1913396,30
"50",1912410,60
"51",1910409,120
"52",1910339,90
"53",1914055,120
"54",1912811,90
"55",1914768,30
"56",1912184,120
"57",1912749,30
"58",1910137,180
"59",1911186,30
"60",1912371,90
"61",1912084,60
"62",1911561,60
"63",1912700,30
"64",1915323,60
"65",1910113,30
"66",1913418,210
"67",1910202,60
"68",1911478,30
"69",1910110,60
"70",1910650,60
"71",1915919,90
"72",1914979,30
"73",1915442,90
"74",1910620,120
"75",1910892,30
"76",1511191,30
"77",1912798,60
"78",1915991,30
"79",1910351,30
"80",1913621,60
"81",1912715,90
"82",1914881,60
"83",1910298,30
"84",1913433,60
"85",1915651,30
"86",1913918,30
"87",1914316,30
"88",1912676,30
"89",1915071,60
"90",1910916,60
"91",1912237,60
"92",1914659,30
"93",1916061,90
"94",1915520,982740
"95",1915378,234900
"96",1911907,60
"97",1910643,30
"98",1910238,213630
"99",1910276,120
"100",1911105,90
"101",1913764,60
"102",1914674,60
"103",1914698,60
"104",1913048,270
"105",1915882,210
"106",1812477,90
"107",1911066,30
"108",1913341,60
"109",1914704,90
"110",1915063,450
"111",1911650,30
"112",1911058,150
"113",1912594,30
"114",1913763,60
"115",1912916,60
"116",1911056,90
"117",1914126,30
"118",1613010,30
"119",1915775,300
"120",1814518,60
"121",1915745,90
"122",1912602,120
"123",1913949,30
"124",1911736,60
"125",1915083,120
"126",1914310,60
"127",1913651,210
"128",1914093,313560
"129",1915982,60
"130",1914352,30
"131",1914210,60
"132",1915040,30
"133",1914079,120
"134",1914038,189450
"135",1912046,330
"136",1912457,30
"137",1914830,60
"138",1915130,30
"139",1911015,30
"140",1914763,150
"141",1813096,30
"142",1913560,450
"143",1912954,30
"144",1914713,60
"145",1914914,30
"146",1911217,210
"147",1820028,30
"148",1913424,30
"149",1915656,60
"150",1914685,30
"151",1911296,60
"152",1915940,30
"153",1914661,30
"154",1852443,60
"155",1915598,60
"156",1914047,90
"157",1911900,30
"158",1911110,90
"159",1913828,120
"160",1911363,60
"161",1910006,30
"162",1910060,60
"163",1912267,60
"164",1913430,60
"165",1910347,90
"166",1915016,60
"167",1910402,30
"168",1912713,60
"169",1915570,60
"170",1913167,30
"171",1911044,60
"172",1912384,120
"173",1915470,60
"174",1910265,60
"175",1913040,30
"176",1914227,0
"177",1911136,0
"178",1911704,0
"179",1912817,0
"180",1911931,0
"181",1915482,0
"182",1812478,0
"183",1914220,0
"184",1914472,0
"185",1912041,0
"186",1915146,0
"187",1915562,0
"188",1911837,0
"189",1913102,0
"190",1911569,0
"191",1913380,0
"192",1915473,0
"193",1912190,0
"194",1913241,0
"195",1914641,0
"196",1913356,0
"197",1913386,0
"198",1915275,0
"199",1911283,0
"200",1912523,0
"201",1915903,0
"202",1914291,0
"203",1914807,0
"204",1913467,0
"205",1913306,0
"206",1915076,0
"207",1915953,0
"208",1913261,0
"209",1914121,0
"210",1937024,0
"211",1912463,0
"212",1911207,0
"213",1915795,0
"214",1910094,0
"215",1912123,0
"216",1910038,0
"217",1812257,0
"218",1912579,0
"219",1914054,0
"220",1914084,0
"221",1910076,0
"222",1913944,0
"223",1912683,0
"224",1910565,0
"225",1913026,0
"226",1937064,0
"227",1910032,0
"228",1912912,0
"229",1915351,0
"230",1914880,0
"231",1911441,0
"232",1913218,0
"233",1913336,0
"234",1913652,0
"235",1915988,0
"236",1911000,0
"237",1914022,0
"238",1912539,0
"239",1913695,0
"240",1913334,0
"241",1915474,0
"242",1913729,0
"243",1915251,0
"244",1910123,0
"245",1910473,0
"246",1912761,0
"247",1912386,0
"248",1913817,0
"249",1914078,0
"250",1911841,0
"251",1912675,0
"252",1915551,0
"253",1915557,0
"254",1914424,0
"255",1913268,0
"256",1915439,0
"257",1914011,0
"258",1910984,0
"259",1911565,0
"260",1915486,0
"261",1915294,0
"262",1911594,0
"263",1914477,0
"264",1915787,0
"265",1914651,0
"266",1913629,0
"267",1912966,0
"268",1913678,0
"269",1912705,0
"270",1915983,0
"271",1914232,0
"272",1915866,0
"273",1910346,0
"274",1913446,0
"275",1913419,0
"276",1912526,0
"277",1910224,0
"278",1910663,0
"279",1911530,0
"280",1913599,0
"281",1913457,0
"282",1916022,0
"283",1913354,0
"284",1915350,0
"285",1913045,0
"286",1915133,0
"287",1813681,0
"288",1911285,0
