"","Maso"
"1",1912041
"2",1913464
"3",1911591
"4",1911704
"5",1913186
"6",1911931
"7",1915822
"8",1913341
"9",1915329
"10",1910666
"11",1910032
"12",1915482
"13",1914003
"14",1911136
"15",1913949
"16",1912184
"17",1914227
"18",1913355
"19",1912190
"20",1913094
"21",1913356
"22",1915071
"23",1913123
"24",1914845
"25",1914055
"26",1911881
"27",1915865
"28",1910620
"29",1911456
"30",1914864
"31",1914768
"32",1913075
"33",1915541
"34",1915953
"35",1914472
"36",1915905
"37",1914474
"38",1910076
"39",1511191
"40",1915903
"41",1912817
"42",1911185
"43",1912980
"44",1910916
"45",1910101
"46",1915323
"47",1814096
"48",1910298
"49",1915939
"50",1913386
"51",1916061
"52",1913467
"53",1914641
"54",1915268
"55",1911520
"56",1913268
"57",1911796
"58",1910238
"59",1914738
"60",1914405
"61",1910644
"62",1915473
"63",1912602
"64",1912056
"65",1912123
"66",1914052
"67",1915351
"68",1913021
"69",1812478
"70",1914093
"71",1914220
"72",1913424
"73",1914084
"74",1914677
"75",1911066
"76",1914038
"77",1910224
"78",1913026
"79",1913380
"80",1912371
"81",1914054
"82",1913775
"83",1911478
"84",1914291
"85",1915146
"86",1913652
"87",1915040
"88",1911314
"89",1913918
"90",1927007
"91",1914126
"92",1914720
"93",1913102
"94",1915562
"95",1911283
"96",1910137
"97",1915557
"98",1912457
"99",1911569
"100",1910409
"101",1913396
"102",1914352
"103",1912916
"104",1912288
"105",1912715
"106",1913729
"107",1912523
"108",1912676
"109",1913566
"110",1913832
"111",1912410
"112",1910339
"113",1813096
"114",1913713
"115",1910351
"116",1915439
"117",1910643
"118",1911186
"119",1910865
"120",1915442
"121",1914210
"122",1914384
"123",1912594
"124",1913254
"125",1914979
"126",1910892
"127",1914316
"128",1912683
"129",1913844
"130",1913609
"131",1915275
"132",1914121
"133",1912811
"134",1912761
"135",1912700
"136",1914807
"137",1913261
"138",1911441
"139",1915919
"140",1910402
"141",1914806
"142",1915598
"143",1910202
"144",1910094
"145",1910113
"146",1915076
"147",1910650
"148",1914763
"149",1912084
"150",1937024
"151",1911561
"152",1910565
"153",1913621
"154",1911207
"155",1914881
"156",1915350
"157",1915991
"158",1613010
"159",1914880
"160",1912463
"161",1912798
"162",1915651
"163",1915795
"164",1915882
"165",1913828
"166",1913334
"167",1812257
"168",1911056
"169",1911058
"170",1912237
"171",1911000
"172",1912539
"173",1915083
"174",1914424
"175",1915251
"176",1911841
"177",1911217
"178",1914659
"179",1912046
"180",1913764
"181",1913944
"182",1913228
"183",1915520
"184",1915940
"185",1915378
"186",1911907
"187",1937064
"188",1913651
"189",1912912
"190",1914047
"191",1914674
"192",1914878
"193",1914698
"194",1913218
"195",1915656
"196",1913336
"197",1812477
"198",1913763
"199",1915016
"200",1912675
"201",1915988
"202",1912966
"203",1914310
"204",1913817
"205",1914022
"206",1915745
"207",1913695
"208",1915063
"209",1914079
"210",1914064
"211",1915474
"212",1911650
"213",1913354
"214",1913756
"215",1910347
"216",1910473
"217",1912954
"218",1912386
"219",1915775
"220",1914078
"221",1913260
"222",1814518
"223",1912958
"224",1915551
"225",1911736
"226",1911900
"227",1914914
"228",1852443
"229",1911296
"230",1915486
"231",1910346
"232",1914697
"233",1914011
"234",1910984
"235",1911565
"236",1914830
"237",1913430
"238",1915130
"239",1913045
"240",1915294
"241",1914477
"242",1913629
"243",1911594
"244",1813528
"245",1915787
"246",1913560
"247",1914713
"248",1914651
"249",1820028
"250",1914685
"251",1910265
"252",1913678
"253",1915667
"254",1912705
"255",1915983
"256",1914232
"257",1915866
"258",1911110
"259",1911363
"260",1913446
"261",1913419
"262",1911975
"263",1911285
"264",1813681
"265",1912526
"266",1910006
"267",1910060
"268",1915650
"269",1913599
"270",1915570
"271",1910663
"272",1911530
"273",1913167
"274",1911044
"275",1912713
"276",1912384
"277",1910735
"278",1913457
"279",1916022
"280",1913758
"281",1911878
"282",1915133
"283",1915931
"284",1912522
"285",1910563
"286",1913040
